 Steven Adams<>C<>OKC<>684<>146<>583<>51<>63<>
 Bam Adebayo<>PF<>MIA<>1146<>368<>735<>82<>72<>
 LaMarcus Aldridge<>C<>SAS<>1001<>129<>392<>36<>53<>
 Kyle Alexander<>C<>MIA<>2<>0<>3<>0<>2<>
 Nickeil Alexander-Walker<>SG<>NOP<>267<>89<>84<>17<>47<>
 Grayson Allen<>SG<>MEM<>330<>52<>85<>10<>38<>
 Jarrett Allen<>C<>BRK<>775<>110<>671<>40<>70<>
 Kadeem Allen<>PG<>NYK<>50<>21<>9<>5<>10<>
 Al-Farouq Aminu<>PF<>ORL<>78<>21<>87<>18<>18<>
 Justin Anderson<>SG<>BRK<>28<>8<>21<>0<>10<>
 Kyle Anderson<>SF<>MEM<>390<>162<>285<>54<>67<>
 Ryan Anderson<>C<>HOU<>5<>2<>7<>1<>2<>
 Giannis Antetokounmpo<>PF<>MIL<>1857<>354<>856<>61<>63<>
 Kostas Antetokounmpo<>PF<>LAL<>7<>2<>3<>0<>5<>
 Thanasis Antetokounmpo<>SF<>MIL<>55<>15<>24<>7<>20<>
 Carmelo Anthony<>PF<>POR<>895<>85<>368<>49<>58<>
 OG Anunoby<>SF<>TOR<>733<>108<>364<>96<>69<>
 Ryan Arcidiacono<>PG<>CHI<>261<>96<>110<>27<>58<>
 Trevor Ariza<>SF<>none<>423<>91<>246<>69<>53<>
 Trevor Ariza<>SF<>SAC<>192<>50<>146<>35<>32<>
 Trevor Ariza<>SF<>POR<>231<>41<>100<>34<>21<>
 D.J. Augustin<>PG<>ORL<>599<>262<>122<>34<>57<>
 Deandre Ayton<>C<>PHO<>690<>72<>436<>26<>38<>
 Dwayne Bacon<>SG<>CHO<>224<>52<>100<>23<>39<>
 Marvin Bagley III<>C<>SAC<>185<>10<>97<>6<>13<>
 Lonzo Ball<>PG<>NOP<>745<>438<>383<>88<>63<>
 Mo Bamba<>C<>ORL<>332<>42<>302<>23<>62<>
 J.J. Barea<>PG<>DAL<>222<>112<>53<>5<>29<>
 Harrison Barnes<>PF<>SAC<>1046<>159<>355<>43<>72<>
